Date,Open,High,Low,Close,Adj Close,Volume
2022-07-13,75.989998,78.540001,75.730003,77.919998,76.651726,3897500
2022-07-14,77.089996,78.370003,76.809998,78.199997,76.927162,4504500
2022-07-15,78.610001,80.209999,78.610001,79.620003,78.324059,5584100
2022-07-18,80.029999,81.669998,80.000000,80.230003,78.924133,6768800
2022-07-19,81.110001,82.669998,80.910004,82.550003,81.206360,5949200
2022-07-20,82.480003,83.470001,81.889999,83.269997,81.914635,6850600
2022-07-21,82.949997,83.610001,82.650002,83.540001,82.180252,7695300
2022-07-22,84.160004,84.430000,82.839996,83.589996,82.229424,6283600
2022-07-25,83.589996,83.699997,81.040001,81.500000,80.173454,5861100
2022-07-26,81.220001,81.419998,80.000000,80.309998,79.002823,6587000
2022-07-27,81.230003,83.410004,81.120003,82.959999,81.609688,6372600
2022-07-28,83.190002,84.889999,82.820000,84.669998,83.291855,5594600
2022-07-29,84.599998,84.980003,83.930000,84.779999,83.400063,5802700
2022-08-01,84.190002,85.589996,84.029999,84.910004,83.527962,7313700
2022-08-02,84.699997,85.139999,83.620003,83.709999,82.347481,7254700
2022-08-03,86.010002,87.970001,83.910004,87.269997,85.849533,12915700
2022-08-04,87.209999,88.279999,86.570000,86.879997,85.465881,7086700
2022-08-05,85.760002,86.150002,84.919998,85.730003,84.334610,4835100
2022-08-08,86.150002,86.860001,85.419998,85.720001,84.324760,4878400
2022-08-09,85.739998,85.830002,84.459999,84.839996,83.459084,3498400
2022-08-10,86.500000,86.900002,86.089996,86.489998,85.082230,5072300
2022-08-11,86.940002,87.550003,86.500000,87.269997,86.338676,5595700
2022-08-12,87.309998,88.400002,87.190002,88.309998,87.367584,5154000
2022-08-15,88.110001,89.250000,88.010002,89.160004,88.208519,5601000
2022-08-16,88.779999,89.930000,88.540001,89.400002,88.445953,4580800
2022-08-17,88.400002,89.000000,87.860001,88.349998,87.407158,3831300
2022-08-18,88.029999,88.779999,87.680000,88.550003,87.605026,3428300
2022-08-19,87.769997,87.970001,86.550003,86.919998,85.992416,4597700
2022-08-22,85.379997,85.550003,84.339996,84.949997,84.043442,5915200
2022-08-23,84.849998,85.610001,84.580002,84.690002,83.786224,4560400
2022-08-24,84.760002,86.480003,84.480003,86.050003,85.131706,4386000
2022-08-25,86.349998,87.629997,86.300003,87.389999,86.457397,4236300
2022-08-26,87.510002,87.989998,83.959999,84.059998,83.162933,6674900
2022-08-29,83.199997,84.660004,83.040001,84.120003,83.222298,5035500
2022-08-30,84.180000,85.019997,82.690002,83.410004,82.519875,6812500
2022-08-31,83.870003,84.760002,83.650002,84.070000,83.172836,6570100
2022-09-01,83.699997,85.470001,82.930000,85.400002,84.488640,7556800
2022-09-02,85.470001,85.769997,82.550003,82.940002,82.054893,10336800
2022-09-06,83.070000,84.620003,81.669998,84.519997,83.618027,11062800
2022-09-07,85.110001,88.620003,84.919998,88.309998,87.367584,9946800
2022-09-08,87.300003,89.480003,87.160004,89.459999,88.505310,7721100
2022-09-09,89.500000,89.949997,88.639999,88.690002,87.743538,7094600
2022-09-12,89.769997,90.379997,88.540001,89.070000,88.119476,9078900
2022-09-13,86.720001,89.300003,86.070000,87.839996,86.902596,16033600
2022-09-14,89.570000,93.480003,89.510002,92.699997,91.710732,24320600
2022-09-15,92.089996,93.150002,91.730003,92.220001,91.235863,11052400
